Lp;NumerUmowy;NazwaKontrahenta;DataZawarcia;DataZakonczenia;Opis;KwotaUmowy
18;2018.0018/3294/ZSdU/DS/TP/183;Stowarzyszenie Sanus Vivere;2018-02-08;2018-03-02;Aktywnie na lodzie;18 140,00
1;2018.0001/7355/ZSdU/DS/59/GF;Klub Sportowy Drukarz;2018-02-13;2018-03-27;Zimniutko Sprytniutko;40 000,00
2;2018.0002/7312/ZSdU/DS/300/GF;Stowarzyszenie Bieg󷠐rzeszkodowych,Terenowych i Ekstremalnych.;2018-01-22;2018-04-11;Aktywna Zima w Mieݣie;420 000,00
3;2018.0003/1733/ZSdU/DS/TP/294;Gmina Olszanica;2018-01-24;2018-03-12;Nauka jazdy na nartach dla uczni󷠺 terenu Gminy Olszanica 2018;9 662,00
4;2018.0004/0806/ZSdU/DS/TP/282;UCZNIOWSKI KLUB SPORTOWY PIAST;2018-01-24;2018-01-31;Biaԡ Szkoԡ 2018;15 000,00
5;2018.0005/7356/ZSdU/DS/TP/279;Stowarzyszenie Naszym Dzieciom;2018-01-24;2018-02-21;Ferie na nartach;15 000,00
6;2018.0006/0758/ZSdU/DS/TP/205;Uczniowski Klub Sportowy DZIEWIƔKA OSRiR Kalisz;2018-01-25;2018-03-07;Lodowisko 2018;40 000,00
7;2018.0007/1982/ZSdU/DS/TP/29;Rzeszowski Klub Sportowym Sport - Partner;2018-01-24;2018-03-09;Narciarstwo w Bieszczadach oraz trening og󬮯rozwojowy z elementami rehabilitacji w wybranych oݲodkach narciarskich wojew󤺴wa podkarpackiego;22 000,00
8;2018.0008/1524/ZSdU/DS/166/GF;Powiat Policki;2018-01-22;2018-02-28;NARCIARSKA PRZYGODA;10 000,00
9;2018.0009/0880/ZSdU/DS/229/GF;Uczniowski Klub Sportowy Biaԯ Czarni Kraݮik ;2018-01-25;2018-02-23;ͭiga桫aࠤy moࠥ;15 000,00
10;2018.0010/7357/ZSdU/DS/TP/175;Stowarzyszenie Budujemy Sukces;2018-01-25;2018-02-28;WINTER CRAZINESS 2017;10 550,00
11;2018.0011/1964/ZSdU/DS/TP/130;Gmina Kolbudy;2018-01-25;2018-02-21;Ferie na stoku 2018 - organizacja zaj릠jazdy na nartach i snowbordzie dla uczni󷠺 Gminy Kolbudy;15 000,00
12;2018.0012/2844/ZSdU/DS/194/GF;Unia Zwiںk󷠓portowych Warszawy i Mazowsza;2018-01-25;2018-04-11;Upowszechnianie Sport󷠺imowych na Mazowszu;250 000,00
13;2018.0013/1226/ZSdU/DS/TP/211;Gmina Czorsztyn;2018-02-08;2018-03-10;Ferie na sportowo;13 000,00
14;2018.0014/1669/ZSdU/DS/TP/293;Uczniowski Klub Sportowy przy SP nr 6 w Przemyݬu;2018-02-08;2018-04-11;Narciarstwo zjazdowe-nauka i doskonalenie;4 795,00
15;2018.0015/3940/ZSdU/DS/TP/82;Klub Sportowy Live;2018-02-08;2018-04-11;Dzieciaki do nart;15 800,00
16;2018.0016/5548/ZSdU/DS/TP/81;Strzy࠯wskie Towarzystwo Rozwoju Sportu w Strzy࠯wie;2018-02-08;2018-04-11;Sportowo i zimowo;10 500,00
17;2018.0017/5552/ZSdU/DS/TP/182;Stowarzyszenie Inicjatyw Lokalnych Przysta񻲰18-02-08;2018-03-12;Aktywni na stoku;14 926,00
18;2018.0018/3294/ZSdU/DS/TP/183;Stowarzyszenie Sanus Vivere;2018-02-08;2018-03-02;Aktywnie na lodzie;18 140,00
1;2018.0001/7355/ZSdU/DS/59/GF;Klub Sportowy Drukarz;2018-02-13;2018-03-27;Zimniutko Sprytniutko;40 000,00
2;2018.0002/7312/ZSdU/DS/300/GF;Stowarzyszenie Bieg󷠐rzeszkodowych,Terenowych i Ekstremalnych.;2018-01-22;2018-04-11;Aktywna Zima w Mieݣie;420 000,00
3;2018.0003/1733/ZSdU/DS/TP/294;Gmina Olszanica;2018-01-24;2018-03-12;Nauka jazdy na nartach dla uczni󷠺 terenu Gminy Olszanica 2018;9 662,00
4;2018.0004/0806/ZSdU/DS/TP/282;UCZNIOWSKI KLUB SPORTOWY PIAST;2018-01-24;2018-01-31;Biaԡ Szkoԡ 2018;15 000,00
5;2018.0005/7356/ZSdU/DS/TP/279;Stowarzyszenie Naszym Dzieciom;2018-01-24;2018-02-21;Ferie na nartach;15 000,00
6;2018.0006/0758/ZSdU/DS/TP/205;Uczniowski Klub Sportowy DZIEWIƔKA OSRiR Kalisz;2018-01-25;2018-03-07;Lodowisko 2018;40 000,00
7;2018.0007/1982/ZSdU/DS/TP/29;Rzeszowski Klub Sportowym Sport - Partner;2018-01-24;2018-03-09;Narciarstwo w Bieszczadach oraz trening og󬮯rozwojowy z elementami rehabilitacji w wybranych oݲodkach narciarskich wojew󤺴wa podkarpackiego;22 000,00
8;2018.0008/1524/ZSdU/DS/166/GF;Powiat Policki;2018-01-22;2018-02-28;NARCIARSKA PRZYGODA;10 000,00
9;2018.0009/0880/ZSdU/DS/229/GF;Uczniowski Klub Sportowy Biaԯ Czarni Kraݮik ;2018-01-25;2018-02-23;ͭiga桫aࠤy moࠥ;15 000,00
10;2018.0010/7357/ZSdU/DS/TP/175;Stowarzyszenie Budujemy Sukces;2018-01-25;2018-02-28;WINTER CRAZINESS 2017;10 550,00
11;2018.0011/1964/ZSdU/DS/TP/130;Gmina Kolbudy;2018-01-25;2018-02-21;Ferie na stoku 2018 - organizacja zaj릠jazdy na nartach i snowbordzie dla uczni󷠺 Gminy Kolbudy;15 000,00
12;2018.0012/2844/ZSdU/DS/194/GF;Unia Zwiںk󷠓portowych Warszawy i Mazowsza;2018-01-25;2018-04-11;Upowszechnianie Sport󷠺imowych na Mazowszu;250 000,00
13;2018.0013/1226/ZSdU/DS/TP/211;Gmina Czorsztyn;2018-02-08;2018-03-10;Ferie na sportowo;13 000,00
14;2018.0014/1669/ZSdU/DS/TP/293;Uczniowski Klub Sportowy przy SP nr 6 w Przemyݬu;2018-02-08;2018-04-11;Narciarstwo zjazdowe-nauka i doskonalenie;4 795,00
15;2018.0015/3940/ZSdU/DS/TP/82;Klub Sportowy Live;2018-02-08;2018-04-11;Dzieciaki do nart;15 800,00
16;2018.0016/5548/ZSdU/DS/TP/81;Strzy࠯wskie Towarzystwo Rozwoju Sportu w Strzy࠯wie;2018-02-08;2018-04-11;Sportowo i zimowo;10 500,00
17;2018.0017/5552/ZSdU/DS/TP/182;Stowarzyszenie Inicjatyw Lokalnych Przysta񻲰18-02-08;2018-03-12;Aktywni na stoku;14 926,00
18;2018.0018/3294/ZSdU/DS/TP/183;Stowarzyszenie Sanus Vivere;2018-02-08;2018-03-02;Aktywnie na lodzie;18 140,00
1;2018.0001/7355/ZSdU/DS/59/GF;Klub Sportowy Drukarz;2018-02-13;2018-03-27;Zimniutko Sprytniutko;40 000,00
2;2018.0002/7312/ZSdU/DS/300/GF;Stowarzyszenie Bieg󷠐rzeszkodowych,Terenowych i Ekstremalnych.;2018-01-22;2018-04-11;Aktywna Zima w Mieݣie;420 000,00
3;2018.0003/1733/ZSdU/DS/TP/294;Gmina Olszanica;2018-01-24;2018-03-12;Nauka jazdy na nartach dla uczni󷠺 terenu Gminy Olszanica 2018;9 662,00
4;2018.0004/0806/ZSdU/DS/TP/282;UCZNIOWSKI KLUB SPORTOWY PIAST;2018-01-24;2018-01-31;Biaԡ Szkoԡ 2018;15 000,00
5;2018.0005/7356/ZSdU/DS/TP/279;Stowarzyszenie Naszym Dzieciom;2018-01-24;2018-02-21;Ferie na nartach;15 000,00
6;2018.0006/0758/ZSdU/DS/TP/205;Uczniowski Klub Sportowy DZIEWIƔKA OSRiR Kalisz;2018-01-25;2018-03-07;Lodowisko 2018;40 000,00
7;2018.0007/1982/ZSdU/DS/TP/29;Rzeszowski Klub Sportowym Sport - Partner;2018-01-24;2018-03-09;Narciarstwo w Bieszczadach oraz trening og󬮯rozwojowy z elementami rehabilitacji w wybranych oݲodkach narciarskich wojew󤺴wa podkarpackiego;22 000,00
8;2018.0008/1524/ZSdU/DS/166/GF;Powiat Policki;2018-01-22;2018-02-28;NARCIARSKA PRZYGODA;10 000,00
9;2018.0009/0880/ZSdU/DS/229/GF;Uczniowski Klub Sportowy Biaԯ Czarni Kraݮik ;2018-01-25;2018-02-23;ͭiga桫aࠤy moࠥ;15 000,00
10;2018.0010/7357/ZSdU/DS/TP/175;Stowarzyszenie Budujemy Sukces;2018-01-25;2018-02-28;WINTER CRAZINESS 2017;10 550,00
11;2018.0011/1964/ZSdU/DS/TP/130;Gmina Kolbudy;2018-01-25;2018-02-21;Ferie na stoku 2018 - organizacja zaj릠jazdy na nartach i snowbordzie dla uczni󷠺 Gminy Kolbudy;15 000,00
12;2018.0012/2844/ZSdU/DS/194/GF;Unia Zwiںk󷠓portowych Warszawy i Mazowsza;2018-01-25;2018-04-11;Upowszechnianie Sport󷠺imowych na Mazowszu;250 000,00
13;2018.0013/1226/ZSdU/DS/TP/211;Gmina Czorsztyn;2018-02-08;2018-03-10;Ferie na sportowo;13 000,00
14;2018.0014/1669/ZSdU/DS/TP/293;Uczniowski Klub Sportowy przy SP nr 6 w Przemyݬu;2018-02-08;2018-04-11;Narciarstwo zjazdowe-nauka i doskonalenie;4 795,00
15;2018.0015/3940/ZSdU/DS/TP/82;Klub Sportowy Live;2018-02-08;2018-04-11;Dzieciaki do nart;15 800,00
16;2018.0016/5548/ZSdU/DS/TP/81;Strzy࠯wskie Towarzystwo Rozwoju Sportu w Strzy࠯wie;2018-02-08;2018-04-11;Sportowo i zimowo;10 500,00
17;2018.0017/5552/ZSdU/DS/TP/182;Stowarzyszenie Inicjatyw Lokalnych Przysta񻲰18-02-08;2018-03-12;Aktywni na stoku;14 926,00
18;2018.0018/3294/ZSdU/DS/TP/183;Stowarzyszenie Sanus Vivere;2018-02-08;2018-03-02;Aktywnie na lodzie;18 140,00
1;2018.0001/7355/ZSdU/DS/59/GF;Klub Sportowy Drukarz;2018-02-13;2018-03-27;Zimniutko Sprytniutko;40 000,00
2;2018.0002/7312/ZSdU/DS/300/GF;Stowarzyszenie Bieg󷠐rzeszkodowych,Terenowych i Ekstremalnych.;2018-01-22;2018-04-11;Aktywna Zima w Mieݣie;420 000,00
3;2018.0003/1733/ZSdU/DS/TP/294;Gmina Olszanica;2018-01-24;2018-03-12;Nauka jazdy na nartach dla uczni󷠺 terenu Gminy Olszanica 2018;9 662,00
4;2018.0004/0806/ZSdU/DS/TP/282;UCZNIOWSKI KLUB SPORTOWY PIAST;2018-01-24;2018-01-31;Biaԡ Szkoԡ 2018;15 000,00
5;2018.0005/7356/ZSdU/DS/TP/279;Stowarzyszenie Naszym Dzieciom;2018-01-24;2018-02-21;Ferie na nartach;15 000,00
6;2018.0006/0758/ZSdU/DS/TP/205;Uczniowski Klub Sportowy DZIEWIƔKA OSRiR Kalisz;2018-01-25;2018-03-07;Lodowisko 2018;40 000,00
7;2018.0007/1982/ZSdU/DS/TP/29;Rzeszowski Klub Sportowym Sport - Partner;2018-01-24;2018-03-09;Narciarstwo w Bieszczadach oraz trening og󬮯rozwojowy z elementami rehabilitacji w wybranych oݲodkach narciarskich wojew󤺴wa podkarpackiego;22 000,00
8;2018.0008/1524/ZSdU/DS/166/GF;Powiat Policki;2018-01-22;2018-02-28;NARCIARSKA PRZYGODA;10 000,00
9;2018.0009/0880/ZSdU/DS/229/GF;Uczniowski Klub Sportowy Biaԯ Czarni Kraݮik ;2018-01-25;2018-02-23;ͭiga桫aࠤy moࠥ;15 000,00
